,request_txt,conversation_id,request_timestamp,responses,intents,entities
0,b'd',b'2edc6f8b-abf2-41ca-aea5-86f5e6e9a193',b'2021-09-07T11:09:42.733Z',"[""I didn't understand. You can try rephrasing.""]",[],[]
1,b'Find nearby location',b'a9020fbf-df46-4af8-ad77-5263acc7c113',b'2021-09-07T11:12:53.305Z',"[""I didn't understand. You can try rephrasing.""]",[],[]
2,b'Apply for BA-HPC Access',b'4bcbeccc-43bd-4159-8afa-6499488814bf',b'2021-09-07T11:14:17.551Z',['Please visit hpc.bibalex.org and go to the “Apply for Access” section.'],"[{'confidence': 0.3188680410385132, 'intent': 'apply'}]",[]
3,b'Know more about BA-HPCs',b'1ce8fbd6-d782-4946-b415-10181dbd9829',b'2021-09-07T11:14:27.114Z',"['For more information about the BA-HPC, visit https://hpc.bibalex.org/about']","[{'confidence': 0.3601019084453583, 'intent': 'hpc_about'}]",[]
4,b'heelo',b'22d91527-bfb3-4de2-84c0-3f849904f772',b'2021-09-07T11:15:14.539Z',"[""Hey! Hope you're having a fantastic day! I can help you with account login issues, provide technical support, and answer general questions about the HPC! Please ask me a question.""]","[{'confidence': 1, 'intent': 'General_Greetings'}]",[]
5,b'Connect to agent',b'22d91527-bfb3-4de2-84c0-3f849904f772',b'2021-09-07T11:15:23.084Z',"['If you would prefer to speak with a human to help you, please feel free to send us a message on our website. We would love to hear from you.\nhttps://hpc.bibalex.org/']","[{'confidence': 0.9463958740234375, 'intent': 'General_Connect_to_Agent'}]",[]
6,b'See how I can help',b'1954c43d-10fb-4296-a999-818ddf88e50a',b'2021-09-07T11:20:22.884Z',"['I am programmed to answer general questions about the Bibliotheca Alexandrina HPC cluster, provide technical support and help with account login issues.']","[{'confidence': 0.7412086725234985, 'intent': 'General_Agent_Capabilities'}]",[]
7,b'BA-HPC C1 vs BA-HPC C2?',b'386c343a-7c29-4e8d-a4b2-e1364a0166ee',b'2021-09-07T11:25:46.977Z',"['BA-HPC C1 and  BA-HPC C2 are both available to use. You specified in the proposal which BA-HPC you want to work on, Depending on your needed resources.']","[{'confidence': 0.9272974729537964, 'intent': 'HPC_Info'}]",[]
8,b'Thank you',b'386c343a-7c29-4e8d-a4b2-e1364a0166ee',b'2021-09-07T11:25:55.569Z',['Happy to help!'],"[{'confidence': 1, 'intent': 'thank_you'}]",[]
9,b'',b'b2e58ccd-7612-4e0d-8f09-65ae80d6daf7',b'2021-09-07T11:26:36.247Z',['Hello. My name is Booker and I am a chatbot. I am here to assist you and answer your questions about the Bibliotheca Alexandrina High Performance Computing (HPC) cluster.'],[],[]
